lnTotalAssets,lnTobinQ,lnRDStock_TangFixedAssets,lnPatentStock_RDStock,lnCitesStock_PatentStock
15.52984,-4.128693,1.914775,0.8049924,2.613489
13.54171,-5.651493,-0.443035,-1.914504,0.3600028
16.78586,-7.624722,-3.034209,-2.127713,-0.23948
14.48174,-6.527162,-2.483311,1.971377,1.806202
15.31452,-6.34517,0.4193012,0.50537,0.4333896
14.44562,-5.452694,-1.251182,-0.3129885,0
16.36451,-5.975314,0.5439316,-0.568928,1.813935
15.72801,-5.629786,0.4758011,-1.43854,1.743496
15.44588,-4.48223,1.157465,-2.925952,0.4315374
12.47915,-5.096672,0.6354185,0.422447,0
11.9479,-7.855893,0.8297439,-1.041315,0
18.11327,-2.803249,1.544327,-5.153203,1.771665
18.65209,-6.679292,-1.678488,-3.240258,0.67642
13.75935,-6.543581,-1.074768,-0.4323676,1.470661
11.74126,-6.313282,-1.078819,2.83562,2.630993
13.57278,-6.230712,-0.6831204,-2.40853,0
14.0429,-5.944895,-2.333445,-0.0634748,1.040918
13.80102,-7.180061,-2.371248,0.6130493,-0.1118392
18.35991,-6.909986,0.2025438,-0.3362333,2.358374
16.20306,-4.816139,-0.2477984,0.0182779,1.298239
14.23316,-6.229509,-0.9033284,-1.633279,0.4552302
11.15612,-4.614205,1.829932,1.419922,1.879309
15.16505,-3.958937,1.029595,-1.262913,0
13.41797,-6.238924,-1.988733,2.099894,1.638253
15.13075,-6.179796,1.282139,-0.7564928,0.330236
13.41871,-3.7845,1.388341,1.415128,2.682966
15.04232,-6.751185,-1.006705,-2.216129,1.845827
17.90777,-6.666936,-4.210357,-2.447967,0
18.74533,-4.787487,-0.8451946,0.916312,2.239617
17.41068,-3.386161,1.428646,0.7347763,2.276622
10.27377,-2.587764,2.8887,1.358025,-0.3560499
12.60075,-6.11275,1.080454,-2.63766,-0.0872115
12.92076,-3.37488,-0.0267038,-1.775047,1.92991
14.72823,-2.265685,1.913525,1.088586,1.15644
16.43831,-7.261463,0.4397536,-0.635934,0.7804341
13.14245,-4.167191,0.3390056,0.1240919,1.308919
17.11929,-6.069633,0.6019216,-0.0046846,1.646273
14.7955,-4.826876,-0.453226,-2.032693,1.73894
12.50653,-7.051186,-0.5378336,-0.7251416,1.150803
13.89329,-6.686727,-0.5253825,-0.6631004,0.3849191
16.02841,-6.28794,-0.3264994,-0.494034,1.230883
14.23513,-5.767875,-0.9970395,-1.938975,1.05933
14.53429,-7.129623,-2.178425,-2.046848,0
13.87177,-6.344943,-0.7383482,1.065183,0.718266
17.02423,-5.48294,0.7731381,-5.609908,0
13.84575,-6.175264,-0.6381165,-0.6721164,0
15.24202,-3.496305,0.1949497,-0.648452,3.130711
15.61125,-6.126847,-0.9591243,0.1171997,1.589161
18.58905,-5.843401,-0.9128403,0.1202334,1.778363
15.76016,-5.663694,-1.342602,1.731572,0.6780133
14.73228,-7.447241,-0.9642131,-1.568763,1.088765
14.28081,-6.769026,0.115243,-0.4981053,1.608431
14.46087,-6.311185,-1.301556,-0.6812413,0.5323319
15.02566,-6.995321,-1.094427,-0.0334275,1.617188
18.55161,-4.707469,1.026725,-5.127664,0.9910482
13.61049,-6.774665,-1.308611,-1.352011,0.9315583
12.63371,-6.826625,-0.5135087,-0.2482006,-1.089266
14.61438,-4.38286,0.7958046,-2.57446,-0.9360508
14.34257,-6.65883,-0.9899647,-0.7928659,-0.0977422
13.70449,-6.395251,-1.056056,0.824806,0.7271348
14.63268,-6.652488,-2.210992,-0.9260447,0
17.14279,-3.394514,1.598534,-1.974225,2.205511
15.61967,-7.811516,-3.567155,0.3856619,0
13.89235,-6.172101,0.2395002,0.5564172,0
12.15865,-6.385261,-0.0153437,-1.187595,0.6931472
14.92899,-5.356561,0.4198308,0.1016605,0.9903473
14.19324,-5.435171,-1.252085,0.0513618,-0.1185904
12.6077,-4.463224,2.25311,-0.9946539,1.342402
15.20314,-5.022491,-0.73053,-0.813741,1.221175
16.0775,-6.814287,0.5056177,1.086227,1.571919
