state,STATE1,year,lnsG_R_AppTot2931,lnsG_R10_AppTot2931,lnsfood,lnsagri,YY1,YY2,YY3,YY4,YY5,YY6,YY7,YY8,YY9,YY10,YY11,YY12,YY13,YY14,YY15,YY16,YY17
IL,IL,2010,-2.443432,-3.258675,-2.197448,-2.750589,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IL,IL,2011,-2.400475,-3.188773,-2.189762,-2.19676,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IL,IL,2012,-2.381836,-3.15369,-2.077543,-2.377647,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IL,IL,2013,-2.374002,-3.073531,-1.947335,-1.995755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IL,IL,2014,-2.397943,-3.049696,-1.944906,-2.02806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IL,IL,2015,-2.571628,-3.21284,-1.997401,-2.263711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IN,IN,2006,-3.723538,-4.189056,-3.715057,-4.593377,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IN,IN,2007,-3.751477,-4.204547,-3.462315,-4.30392,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
IN,IN,2008,-3.694578,-4.090996,-3.182081,-4.056655,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IN,IN,2009,-3.650058,-4.065335,-3.173891,-4.407717,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IN,IN,2010,-3.548955,-4.062534,-3.022057,-4.512851,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IN,IN,2011,-3.463126,-3.962453,-2.753237,-4.165986,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IN,IN,2012,-3.498874,-3.990524,-2.465483,-5.033141,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IN,IN,2013,-3.453755,-3.903224,-2.523012,-4.897937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IN,IN,2014,-3.442887,-3.871446,-2.435061,-4.535664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IN,IN,2015,-3.612094,-4.03799,-2.494349,-4.459656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KS,KS,2006,-4.829278,-5.453269,-3.035206,-4.213038,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KS,KS,2007,-4.758174,-5.522167,-2.938373,-3.273431,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KS,KS,2008,-4.708583,-5.507117,-2.894809,-2.882618,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KS,KS,2009,-4.73424,-5.518761,-2.989266,-3.581444,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KS,KS,2010,-4.765767,-5.463461,-2.719675,-3.474949,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
KS,KS,2011,-4.763211,-5.486489,-2.552074,-2.911287,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KS,KS,2012,-4.678389,-5.318349,-2.571006,-2.779357,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
KS,KS,2013,-4.638034,-5.245166,-2.414367,-2.35322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
KS,KS,2014,-4.658635,-5.235446,-2.524434,-2.628799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
KS,KS,2015,-4.826908,-5.390669,-2.609691,-2.966759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KY,KY,2006,-3.685494,-4.178705,-3.315122,-2.857733,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KY,KY,2007,-3.64095,-4.133089,-3.177392,-3.200285,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KY,KY,2008,-3.626423,-4.125506,-3.000835,-3.217834,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KY,KY,2009,-3.641306,-4.140679,-3.017881,-2.993018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KY,KY,2010,-3.528809,-4.017247,-2.878271,-3.177125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
KY,KY,2011,-3.448946,-3.950202,-3.103052,-3.446871,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KY,KY,2012,-3.422151,-3.900654,-2.73578,-3.298248,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
KY,KY,2013,-3.387263,-3.815675,-2.679167,-3.329801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
KY,KY,2014,-3.385576,-3.791647,-2.922684,-3.045453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
KY,KY,2015,-3.490255,-3.888668,-2.983657,-3.241699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LA,LA,2006,-3.090774,-3.493957,-0.6731859,0.7452943,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LA,LA,2007,-2.921255,-3.419275,-0.4751134,1.0852,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LA,LA,2008,-2.866243,-3.337402,-0.0998112,1.348371,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LA,LA,2009,-2.841263,-3.295503,-0.188719,1.200252,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LA,LA,2010,-2.760895,-3.187097,0.0147371,1.364606,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LA,LA,2011,-2.639869,-3.109809,0.0615989,1.520969,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LA,LA,2012,-2.586133,-3.04264,0.3245854,1.671883,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LA,LA,2013,-2.440965,-2.809705,0.2765712,1.490128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LA,LA,2014,-2.323558,-2.674997,0.2692581,1.645965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LA,LA,2015,-2.425565,-2.757089,0.2483028,1.50802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
